Date	Pinterest
2021.09.30	0.4517857142857143
2021.09.29	0.379746835443038
2021.09.28	0.45047169811320753
2021.09.27	0.458955223880597
2021.09.26	0.5083333333333333
2021.09.25	0.4429347826086957
2021.09.24	0.39485981308411217
2021.09.23	0.421455938697318
2021.09.22	0.3830275229357798
2021.09.21	0.625
2021.09.20	0.5227272727272727
2021.09.19	0.3389423076923077
2021.09.18	0.6015625
2021.09.17	0.3601190476190476
2021.09.16	0.404320987654321
2021.09.15	0.43882978723404253
2021.09.14	0.3357142857142857
2021.09.13	0.30416666666666664
2021.09.12	0.3525641025641026
2021.09.11	0.36666666666666664
2021.09.10	0.4033333333333333
2021.09.09	0.3867924528301887
2021.09.08	0.48161764705882354
2021.09.07	0.3978494623655914
2021.09.06	0.44970414201183434
2021.09.05	0.4826086956521739
2021.09.04	0.4092741935483871
2021.09.03	0.41688654353562005
2021.09.02	0.38420542635658916
2021.09.01	0.35016556291390727
2021.08.31	0.3453791469194313
2021.08.30	0.34408602150537637
2021.08.29	0.35778985507246375
2021.08.28	0.37166666666666665
2021.08.27	0.3519736842105263
2021.08.26	0.3460698689956332
2021.08.25	0.38273615635179153
2021.08.24	0.41100917431192663
2021.08.23	0.37232415902140675
2021.08.22	0.4252336448598131
2021.08.21	0.33879781420765026
2021.08.20	0.4782608695652174
2021.08.19	0.3443396226415094
2021.08.18	0.42028985507246375
2021.08.17	0.43661971830985913
2021.08.16	0.3125
2021.08.15	0.40217391304347827
2021.08.14	0.484375
2021.08.13	0.48333333333333334
2021.08.12	0.48676470588235293
2021.08.11	0.36666666666666664
2021.08.10	0.3897849462365591
2021.08.09	0.40350877192982454
2021.08.08	0.125
2021.08.07	0.3557692307692308
2021.08.06	0.4307228915662651
2021.08.05	0.3488372093023256
2021.08.04	0.4673913043478261
2021.08.03	0.3358208955223881
2021.08.02	0.4435483870967742
2021.08.01	0.4323770491803279
2021.07.31	0.5392156862745098
2021.07.30	0.45808383233532934
2021.07.29	0.5106837606837606
2021.07.28	0.3693181818181818
2021.07.27	0.38492063492063494
2021.07.26	0.5
2021.07.25	0.5813953488372093
2021.07.24	0.3278301886792453
2021.07.23	0.4034090909090909
