Date	Pinterest
2021.09.30	0.40756302521008403
2021.09.29	0.4876373626373626
2021.09.28	0.4940828402366864
2021.09.27	0.5543478260869565
2021.09.26	0.2826086956521739
2021.09.25	0.2625
2021.09.24	0.5
2021.09.23	0.4339622641509434
2021.09.22	0.42021276595744683
2021.09.21	0.6727272727272727
2021.09.20	0.34285714285714286
2021.09.19	0.325
2021.09.18	0.5694444444444444
2021.09.17	0.4246575342465753
2021.09.16	0.6071428571428571
2021.09.15	0.45
2021.09.14	0.4841897233201581
2021.09.13	0.5448113207547169
2021.09.12	0.4734848484848485
2021.09.11	0.405
2021.09.10	0.45535714285714285
2021.09.09	0.4426229508196721
2021.09.08	0.3976628895184136
2021.09.07	0.5816326530612245
2021.09.06	0.55
2021.09.05	0.4481132075471698
2021.09.04	0.3357142857142857
2021.09.03	0.5454545454545454
2021.09.02	0.5694444444444444
2021.09.01	0.5990566037735849
2021.08.31	0.5125
2021.08.30	0.5266990291262136
2021.08.29	0.4476744186046512
2021.08.28	0.41
2021.08.27	0.3904494382022472
2021.08.26	0.4007936507936508
2021.08.25	0.4634146341463415
2021.08.24	0.4453125
2021.08.23	0.5965909090909091
2021.08.22	0.391304347826087
2021.08.21	0.1
2021.08.20	0.5178571428571429
2021.08.19	0.4393939393939394
2021.08.18	0.6
2021.08.17	0.3602941176470588
2021.08.16	0.3787878787878788
2021.08.15	0.2777777777777778
2021.08.14	0.525
2021.08.13	0.5911016949152542
2021.08.12	0.5573770491803278
2021.08.11	0.4513888888888889
2021.08.10	0.475
2021.08.09	0.40853658536585363
2021.08.08	0.38461538461538464
2021.08.07	0.38666666666666666
2021.08.06	0.5769230769230769
2021.08.05	0.5528169014084507
2021.08.04	0.5833333333333334
2021.08.03	0.40561224489795916
2021.08.02	0.52
2021.08.01	0.4388888888888889
2021.07.31	0.4236111111111111
2021.07.30	0.49038461538461536
2021.07.29	0.5428571428571428
2021.07.28	0.4797297297297297
2021.07.27	0.569620253164557
2021.07.26	0.5523255813953488
2021.07.25	0.6464285714285715
2021.07.24	0.5955882352941176
2021.07.23	0.5919117647058824
2021.07.22	0.6265432098765432
2021.07.21	0.3482142857142857
2021.07.20	0.4772727272727273
2021.07.19	0.5681818181818182
2021.07.18	0.29545454545454547
2021.07.17	0.6041666666666666
2021.07.16	0.5407407407407407
2021.07.15	0.5808823529411765
2021.07.14	0.43577981651376146
2021.07.13	0.654126213592233
2021.07.12	0.5887096774193549
2021.07.11	0.5178571428571429
2021.07.10	0.6776315789473685
2021.07.09	0.5
2021.07.08	0.4166666666666667
2021.07.07	0.53515625
2021.07.06	0.4888888888888889
2021.07.05	0.5277777777777778
2021.07.04	0.23529411764705882
2021.07.03	0.5948275862068966
2021.07.02	0.4473684210526316
2021.07.01	0.5262096774193549
2021.06.30	0.4618055555555556
2021.06.29	0.4661016949152542
2021.06.28	0.4381720430107527
2021.06.27	0.3709677419354839
2021.06.26	0.5396039603960396
2021.06.25	0.4940944881889764
2021.06.24	0.5347533632286996
2021.06.23	0.4878048780487805
2021.06.22	0.45337301587301587
2021.06.21	0.4962121212121212
2021.06.20	0.5116279069767442
2021.06.19	0.3709677419354839
2021.06.18	0.45851063829787236
2021.06.17	0.45132743362831856
2021.06.16	0.48350253807106597
2021.06.15	0.4722222222222222
2021.06.14	0.5256849315068494
2021.06.13	0.5245901639344263
2021.06.12	0.48507462686567165
2021.06.11	0.4778225806451613
2021.06.10	0.5126404494382022
2021.06.09	0.45789473684210524
2021.06.08	0.42913385826771655
2021.06.07	0.5581395348837209
2021.06.06	0.55
2021.06.05	0.3
2021.06.04	0.4397810218978102
2021.06.03	0.5172413793103449
2021.06.02	0.37149532710280375
2021.06.01	0.6038961038961039
2021.05.31	0.449468085106383
2021.05.30	0.38461538461538464
2021.05.29	0.36363636363636365
2021.05.28	0.4799107142857143
2021.05.27	0.45248868778280543
2021.05.26	0.49390243902439024
2021.05.25	0.4069767441860465
2021.05.24	0.42333333333333334
2021.05.23	0.42718446601941745
2021.05.22	0.5446428571428571
2021.05.21	0.5559701492537313
2021.05.20	0.6342592592592593
2021.05.19	0.5
2021.05.18	0.55
2021.05.17	0.41089108910891087
2021.05.16	0.609375
2021.05.15	0.47368421052631576
2021.05.14	0.5080645161290323
2021.05.13	0.410958904109589
2021.05.12	0.3523936170212766
2021.05.11	0.4166666666666667
2021.05.10	0.4518348623853211
2021.05.09	0.28289473684210525
2021.05.08	0.275
2021.05.07	0.4451219512195122
2021.05.06	0.45
2021.05.05	0.4166666666666667
2021.05.04	0.5813953488372093
2021.05.03	0.5732758620689655
2021.05.02	0.39285714285714285
2021.05.01	0.47
2021.04.30	0.4667300380228137
2021.04.29	0.4935897435897436
2021.04.28	0.5298507462686567
2021.04.27	0.44672131147540983
2021.04.26	0.40106951871657753
2021.04.25	0.3333333333333333
2021.04.24	0.5388888888888889
2021.04.23	0.43636363636363634
2021.04.22	0.442
2021.04.21	0.47606382978723405
2021.04.20	0.3881578947368421
2021.04.19	0.5375
2021.04.18	0.7307692307692307
2021.04.17	0.5673076923076923
2021.04.16	0.5096153846153846
2021.04.15	0.5087719298245614
2021.04.14	0.6262376237623762
2021.04.13	0.5431034482758621
2021.04.12	0.5
2021.04.11	0.6730769230769231
2021.04.10	0.6453488372093024
2021.04.09	0.6328125
2021.04.08	0.5888157894736842
2021.04.07	0.4725609756097561
2021.04.06	0.5339285714285714
2021.04.05	0.6157407407407407
2021.04.04	0.725
2021.04.03	0.6521739130434783
2021.04.02	0.5597826086956522
2021.04.01	0.42916666666666664
